description,industry,level,size,line_code,value
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Other machinery & equipment,2,total,C0906,6
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Other manufacturing,2,total,C0906,0
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,"Electricity, gas, water, & waste services",1,total,C0906,0
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Construction,1,total,C0906,0
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Wholesale trade,1,total,C0906,39
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Machinery & equipment wholesaling,2,total,C0906,27
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Other wholesale trade,2,total,C0906,12
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Retail trade,1,total,C0906,21
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Accommodation & food services,1,total,C0906,63
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,"Transport, postal, & warehousing",1,total,C0906,48
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Information media & telecommunications,1,total,C0906,24
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Publishing,2,total,C0906,6
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Motion picture,2,total,C0906,12
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Telecommunications,2,total,C0906,6
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Financial & insurance services,1,total,C0906,42
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Finance,2,total,C0906,9
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Insurance,2,total,C0906,3
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Auxiliary,2,total,C0906,30
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,"Rental, hiring, & real estate services",1,total,C0906,3
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,"Professional, scientific, & technical services",1,total,C0906,168
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Computer systems design,2,total,C0906,48
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Other professional scientific,2,total,C0906,120
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Administrative & support services,1,total,C0906,39
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Education & training,1,total,C0906,18
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Health care & social assistance,1,total,C0906,0
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Arts & recreation services,1,total,C0906,0
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,Other services,1,total,C0906,0
Which of the following methods did this business use to deliver goods and services to overseas customers? - other,total,0,total,C0906,621
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,total,0,6–19 employees,C1001,597
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,total,0,20–49 employees,C1001,189
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,total,0,50–99 employees,C1001,78
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,total,0,100+ employees,C1001,42
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Agriculture, forestry, & fishing",1,total,C1001,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Agriculture,2,total,C1001,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Commercial fishing,2,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Forestry & logging,2,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Agriculture, forestry, & fishing support services",2,total,C1001,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Mining,1,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Manufacturing,1,total,C1001,219
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Food, beverage, & tobacco",2,total,C1001,48
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Textile, clothing, footwear, & leather",2,total,C1001,21
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Wood & paper product,2,total,C1001,12
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Printing, publishing, & recorded media",2,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Petroleum, coal, chemical, & associated product",2,total,C1001,45
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Non-metallic mineral product,2,total,C1001,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Metal product,2,total,C1001,21
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Transport and industrial machinery & equipment,2,total,C1001,36
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Other machinery & equipment,2,total,C1001,12
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Other manufacturing,2,total,C1001,18
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Electricity, gas, water, & waste services",1,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Construction,1,total,C1001,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Wholesale trade,1,total,C1001,93
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Machinery & equipment wholesaling,2,total,C1001,36
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Other wholesale trade,2,total,C1001,54
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Retail trade,1,total,C1001,108
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Accommodation & food services,1,total,C1001,72
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Transport, postal, & warehousing",1,total,C1001,27
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Information media & telecommunications,1,total,C1001,42
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Publishing,2,total,C1001,21
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Motion picture,2,total,C1001,15
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Telecommunications,2,total,C1001,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Financial & insurance services,1,total,C1001,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Finance,2,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Insurance,2,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Auxiliary,2,total,C1001,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Rental, hiring, & real estate services",1,total,C1001,18
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,"Professional, scientific, & technical services",1,total,C1001,264
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Computer systems design,2,total,C1001,87
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Other professional scientific,2,total,C1001,177
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Administrative & support services,1,total,C1001,9
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Education & training,1,total,C1001,15
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Health care & social assistance,1,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Arts & recreation services,1,total,C1001,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,Other services,1,total,C1001,15
Which of the following made it difficult for this business to sell goods and services overseas? - limited experience generating sales overseas,total,0,total,C1001,903
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,total,0,6–19 employees,C1002,663
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,total,0,20–49 employees,C1002,249
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,total,0,50–99 employees,C1002,114
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,total,0,100+ employees,C1002,81
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Agriculture, forestry, & fishing",1,total,C1002,24
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Agriculture,2,total,C1002,12
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Commercial fishing,2,total,C1002,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Forestry & logging,2,total,C1002,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Agriculture, forestry, & fishing support services",2,total,C1002,9
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Mining,1,total,C1002,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Manufacturing,1,total,C1002,351
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Food, beverage, & tobacco",2,total,C1002,129
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Textile, clothing, footwear, & leather",2,total,C1002,27
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Wood & paper product,2,total,C1002,18
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Printing, publishing, & recorded media",2,total,C1002,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Petroleum, coal, chemical, & associated product",2,total,C1002,36
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Non-metallic mineral product,2,total,C1002,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Metal product,2,total,C1002,45
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Transport and industrial machinery & equipment,2,total,C1002,42
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Other machinery & equipment,2,total,C1002,21
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Other manufacturing,2,total,C1002,27
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Electricity, gas, water, & waste services",1,total,C1002,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Construction,1,total,C1002,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Wholesale trade,1,total,C1002,189
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Machinery & equipment wholesaling,2,total,C1002,45
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Other wholesale trade,2,total,C1002,141
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Retail trade,1,total,C1002,117
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Accommodation & food services,1,total,C1002,75
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Transport, postal, & warehousing",1,total,C1002,33
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Information media & telecommunications,1,total,C1002,24
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Publishing,2,total,C1002,12
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Motion picture,2,total,C1002,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Telecommunications,2,total,C1002,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Financial & insurance services,1,total,C1002,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Finance,2,total,C1002,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Insurance,2,total,C1002,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Auxiliary,2,total,C1002,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Rental, hiring, & real estate services",1,total,C1002,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,"Professional, scientific, & technical services",1,total,C1002,198
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Computer systems design,2,total,C1002,96
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Other professional scientific,2,total,C1002,105
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Administrative & support services,1,total,C1002,33
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Education & training,1,total,C1002,21
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Health care & social assistance,1,total,C1002,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Arts & recreation services,1,total,C1002,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,Other services,1,total,C1002,18
Which of the following made it difficult for this business to sell goods and services overseas? - limited knowledge about specific markets,total,0,total,C1002,1110
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,total,0,6–19 employees,C1003,447
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,total,0,20–49 employees,C1003,135
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,total,0,50–99 employees,C1003,42
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,total,0,100+ employees,C1003,21
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Agriculture, forestry, & fishing",1,total,C1003,33
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Agriculture,2,total,C1003,24
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Commercial fishing,2,total,C1003,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Forestry & logging,2,total,C1003,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Agriculture, forestry, & fishing support services",2,total,C1003,9
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Mining,1,total,C1003,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Manufacturing,1,total,C1003,213
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Food, beverage, & tobacco",2,total,C1003,108
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Textile, clothing, footwear, & leather",2,total,C1003,18
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Wood & paper product,2,total,C1003,9
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Printing, publishing, & recorded media",2,total,C1003,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Petroleum, coal, chemical, & associated product",2,total,C1003,39
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Non-metallic mineral product,2,total,C1003,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Metal product,2,total,C1003,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Transport and industrial machinery & equipment,2,total,C1003,9
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Other machinery & equipment,2,total,C1003,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Other manufacturing,2,total,C1003,15
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Electricity, gas, water, & waste services",1,total,C1003,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Construction,1,total,C1003,3
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Wholesale trade,1,total,C1003,87
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Machinery & equipment wholesaling,2,total,C1003,21
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Other wholesale trade,2,total,C1003,66
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Retail trade,1,total,C1003,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Accommodation & food services,1,total,C1003,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Transport, postal, & warehousing",1,total,C1003,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Information media & telecommunications,1,total,C1003,27
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Publishing,2,total,C1003,12
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Motion picture,2,total,C1003,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Telecommunications,2,total,C1003,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Financial & insurance services,1,total,C1003,12
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Finance,2,total,C1003,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Insurance,2,total,C1003,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Auxiliary,2,total,C1003,9
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Rental, hiring, & real estate services",1,total,C1003,21
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,"Professional, scientific, & technical services",1,total,C1003,135
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Computer systems design,2,total,C1003,57
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Other professional scientific,2,total,C1003,81
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Administrative & support services,1,total,C1003,39
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Education & training,1,total,C1003,30
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Health care & social assistance,1,total,C1003,15
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Arts & recreation services,1,total,C1003,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,Other services,1,total,C1003,6
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to finance for establishing or expanding sales overseas,total,0,total,C1003,642
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,total,0,6–19 employees,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,total,0,20–49 employees,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,total,0,50–99 employees,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,total,0,100+ employees,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Agriculture, forestry, & fishing",1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Agriculture,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Commercial fishing,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Forestry & logging,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Agriculture, forestry, & fishing support services",2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Mining,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Manufacturing,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Food, beverage, & tobacco",2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Textile, clothing, footwear, & leather",2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Wood & paper product,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Printing, publishing, & recorded media",2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Petroleum, coal, chemical, & associated product",2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Non-metallic mineral product,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Metal product,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Transport and industrial machinery & equipment,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Other machinery & equipment,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Other manufacturing,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Electricity, gas, water, & waste services",1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Construction,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Wholesale trade,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Machinery & equipment wholesaling,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Other wholesale trade,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Retail trade,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Accommodation & food services,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Transport, postal, & warehousing",1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Information media & telecommunications,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Publishing,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Motion picture,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Telecommunications,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Financial & insurance services,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Finance,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Insurance,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Auxiliary,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Rental, hiring, & real estate services",1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,"Professional, scientific, & technical services",1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Computer systems design,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Other professional scientific,2,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Administrative & support services,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Education & training,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Health care & social assistance,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Arts & recreation services,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,Other services,1,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - limited access to distribution networks,total,0,total,C1004,0
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,total,0,6–19 employees,C1005,924
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,total,0,20–49 employees,C1005,258
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,total,0,50–99 employees,C1005,123
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,total,0,100+ employees,C1005,132
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,"Agriculture, forestry, & fishing",1,total,C1005,99
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Agriculture,2,total,C1005,42
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Commercial fishing,2,total,C1005,0
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Forestry & logging,2,total,C1005,21
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,"Agriculture, forestry, & fishing support services",2,total,C1005,36
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Mining,1,total,C1005,6
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Manufacturing,1,total,C1005,474
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,"Food, beverage, & tobacco",2,total,C1005,204
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,"Textile, clothing, footwear, & leather",2,total,C1005,33
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Wood & paper product,2,total,C1005,36
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,"Printing, publishing, & recorded media",2,total,C1005,12
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,"Petroleum, coal, chemical, & associated product",2,total,C1005,60
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Non-metallic mineral product,2,total,C1005,6
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Metal product,2,total,C1005,33
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Transport and industrial machinery & equipment,2,total,C1005,51
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Other machinery & equipment,2,total,C1005,24
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Other manufacturing,2,total,C1005,12
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,"Electricity, gas, water, & waste services",1,total,C1005,3
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Construction,1,total,C1005,6
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Wholesale trade,1,total,C1005,222
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Machinery & equipment wholesaling,2,total,C1005,81
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Other wholesale trade,2,total,C1005,141
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Retail trade,1,total,C1005,189
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Accommodation & food services,1,total,C1005,156
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,"Transport, postal, & warehousing",1,total,C1005,12
Which of the following made it difficult for this business to sell goods and services overseas? - exchange rate volatility or level,Information media & telecommunications,1,total,C1005,15
